
2021/10/31 (08:30:42) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/01 (05:42:16) | ===> btop++ v.1.0.20
2021/11/01 (05:42:16) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/02 (18:56:52) | ===> btop++ v.1.0.20
2021/11/02 (18:56:52) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/04 (00:21:07) | ===> btop++ v.1.0.20
2021/11/04 (00:21:07) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/05 (05:49:23) | ===> btop++ v.1.0.20
2021/11/05 (05:49:23) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/13 (13:13:42) | ===> btop++ v.1.0.20
2021/11/13 (13:13:42) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/16 (19:34:57) | ===> btop++ v.1.0.20
2021/11/16 (19:34:57) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/17 (05:27:53) | ===> btop++ v.1.1.0
2021/11/17 (05:27:53) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2021/11/17 (05:39:10) | ===> btop++ v.1.1.0
2021/11/17 (05:39:10) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
